NO,STORE ID,매장명,지점명,도로명 주소
1,,아디다스,퍼포먼스 신세계명동,서울특별시 중구 소공로 63 신세계백화점 4층
2,,아디다스,오리지널스 신세계명동,서울특별시 중구 소공로 63 신세계백화점 4층
3,,아디다스,퍼포먼스 분당,경기도 성남시 분당구 분당로53번길 22 블루홀플라자
4,,아디다스,퍼포먼스 롯데백화점분당,경기 성남시 분당구 황새울로200번길 45
5,,아디다스,퍼포먼스 NC야탑,경기 성남시 분당구 야탑로81번길 11 뉴코아아울렛 야탑점 6층
6,,아디다스,오리지널스 홍대,"서울특별시 마포구 홍익로6길 27 (동교동)"
7,,아디다스,오리지널스 롯데백화점분당,"경기도 성남시 분당구 황새울로200번길 45 (수내동, 롯데백화점) 4층"
8,,아디다스,오리지널스 롯데백화점미아,서울 강북구 도봉로 62
9,,아디다스,롯데백화점 분당점,경기도 성남시 분당구 황새울로200번길 45 롯데백화점 5층
10,,아디다스,포천,"경기도 포천시 소흘읍 호국로 280 포천패션타운 B동 1,2호"
